	#Gene_ID	ES2050	ES569	ES2483	ES2162	ES2329	ES2431	ES2160	ES2076	ES568	ES566	ES567	ES2484	ES2341	ES2049
51256	ENSG00000231859	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51257	ENSG00000232032	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51258	ENSG00000232097	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51259	ENSG00000238228	5	1	1	3	3	3	0	2	0	3	2	4	0	2
51260	ENSG00000266318	0	0	0	1	0	0	0	0	0	0	0	0	0	0
51261	ENSG00000266668	0	0	0	0	0	0	2	0	0	0	0	0	0	0
51262	ENSG00000183444	15	2	11	6	12	6	3	4	11	6	7	9	15	7
51263	ENSG00000243554	6	5	12	8	13	6	8	4	15	10	7	16	17	14
51264	ENSG00000135175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51265	ENSG00000263819	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51266	ENSG00000239610	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51267	ENSG00000164715	79	46	92	66	108	51	90	41	83	49	29	57	68	42
51268	ENSG00000180535	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51269	ENSG00000205356	89	56	98	49	153	60	108	92	174	114	117	124	147	88
51270	ENSG00000164713	138	74	185	58	185	47	112	128	169	106	121	126	250	91
51271	ENSG00000006453	33	7	13	4	0	10	4	28	15	14	35	11	30	15
51272	ENSG00000164713	1	0	1	0	0	1	0	0	0	0	0	0	2	0
51273	ENSG00000272782	1	0	0	0	0	3	1	2	0	1	2	0	6	4
51274	ENSG00000272782	10	0	3	0	0	1	3	5	6	2	2	1	6	4
51275	ENSG00000272950	0	0	0	0	0	1	0	0	0	0	0	2	8	0
51276	ENSG00000214389	2	0	3	3	0	1	0	5	2	2	0	3	3	0
51277	ENSG00000213455	1	0	0	0	0	0	0	2	1	0	0	0	0	1
51278	ENSG00000223402	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51279	ENSG00000106236	29	47	128	49	36	22	66	54	128	50	54	108	16	63
51280	ENSG00000207204	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51281	ENSG00000166448	104	110	73	68	131	12	43	342	225	153	95	52	148	121
51282	ENSG00000196367	149	57	177	206	176	141	163	146	80	62	78	220	232	156
51283	ENSG00000266019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51284	ENSG00000238459	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51285	ENSG00000238109	1	0	1	0	1	0	1	1	1	0	1	1	2	1
51286	ENSG00000242687	3	2	6	2	6	4	4	2	1	4	0	0	6	0
51287	ENSG00000198742	43	43	78	112	119	33	41	69	76	116	59	57	103	63
51288	ENSG00000185467	0	3	0	0	0	0	0	0	0	3	0	0	0	0
51289	ENSG00000002079	3	1	0	1	0	1	4	0	2	2	0	3	1	1
51290	ENSG00000241685	1049	466	830	568	995	520	854	622	1255	885	768	772	1004	608
51291	ENSG00000130429	191	45	174	43	201	63	59	135	44	72	93	145	417	153
51292	ENSG00000106244	250	128	283	181	263	130	252	133	363	281	269	260	264	148
51293	ENSG00000106245	591	229	538	400	613	317	567	332	561	449	331	406	766	362
51294	ENSG00000239133	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51295	ENSG00000106246	33	19	45	45	47	24	38	27	61	30	34	39	56	28
51296	ENSG00000248919	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51297	ENSG00000106246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51298	ENSG00000106246	0	1	0	0	1	1	1	0	1	1	2	0	1	1
51299	ENSG00000106246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51300	ENSG00000248919	1	0	1	1	1	0	1	1	1	3	1	0	1	0
51301	ENSG00000248919	0	0	1	0	0	0	0	0	0	0	0	0	0	0
51302	ENSG00000160917	81	63	203	135	219	88	141	109	109	147	131	111	148	109
51303	ENSG00000228335	96	39	61	67	89	38	71	68	106	107	70	77	86	63
51304	ENSG00000214314	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51305	ENSG00000241468	510	230	627	369	628	323	445	271	678	459	376	397	808	362
51306	ENSG00000241468	5	2	2	5	7	4	2	5	2	5	3	3	8	3
51307	ENSG00000198556	58	31	64	89	122	59	56	8	140	76	72	83	78	37
