Zebrafish gene name	ZMEL1 - rep1	ZMEL1 - rep2	ZMEL1 - rep3	ZMELR1 - rep1	ZMELR1 - rep2	ZMELR1 - rep3
5_8S_rRNA	32	7	8	10	5	8
5S_rRNA	1729	2343	2148	2224	3316	1659
7SK	0	0	0	0	0	0
a1cf	0	3	2	1	3	0
a2ml	0	1	2	0	0	0
aaas	4912	6781	3631	2927	5792	1313
aacs	11056	19563	15703	11075	19661	10980
aadac	58	102	130	135	301	179
aadacl4	5	2	8	36	52	8
AADAT	119	401	316	218	454	194
AAED1	436	278	630	671	598	331
aagab	1229	1309	1488	1272	2021	889
aak1	765	1454	1324	787	1723	753
aamdc	219	232	318	208	277	194
aamp	7221	8237	8094	7189	11177	8077
aanat1	6	7	8	8	9	16
aanat2	13	17	7	7	9	5
aar2	2586	3417	3060	1958	3416	1662
aars	40053	42225	39262	31764	50659	17188
aars2	1023	1371	1016	900	1621	615
aarsd1	771	885	651	604	984	285
aasdh	89	191	133	205	385	163
aasdhppt	430	451	323	351	552	177
aass	2387	3301	3140	2206	3504	1594
aatf	2435	3795	3435	2052	4475	1854
aatka	832	2105	314	1459	2672	166
aatkb	52	88	152	8	19	11
abat	819	1942	1427	1436	2971	732
abca12	22	53	65	188	286	229
abca1a	140	105	398	320	259	1540
abca1b	35	35	63	14	21	75
abca2	1083	1681	1694	1421	2508	1890
abca3b	741	962	1082	1146	1505	1194
abca4a	58	30	38	71	56	48
abca4b	10249	15365	15670	10211	19673	8946
abca5	698	1086	747	1119	1601	610
abcb10	1230	1571	1386	1096	1898	719
abcb11a	233	353	394	47	96	31
abcb11b	0	0	0	1	3	3
abcb3l1	0	0	0	0	0	0
abcb4	15	14	29	19	28	71
abcb5	9	5	4	4	10	4
abcb6a	479	941	512	200	551	202
abcb6b	82	180	271	94	239	208
abcb7	5407	6412	5236	4067	7043	2488
abcb8	2030	2148	2502	1610	2514	984
abcb9	353	339	366	298	459	242
ABCC1	1449	2362	2082	1908	3811	1394
abcc12	2	2	2	3	2	15
abcc13	2	0	0	2	3	3
abcc2	90	97	127	114	169	72
ABCC3	300	581	405	628	1150	272
abcc4	315	717	887	437	819	565
abcc5	5662	7371	8000	7836	10697	6064
ABCC6	2	9	7	5	8	3
abcc6a	191	146	216	365	344	183
abcc8	5	12	10	33	49	30
abcc9	8	13	5	4	9	5
abcd1	205	378	561	379	651	545
abcd3a	10774	12515	10962	8982	14456	4568
abcd3b	1676	1972	2122	973	1697	517
abcd4	1272	1167	1855	1257	1493	1277
abce1	44768	56029	48510	25793	50170	21331
abcf1	59723	93308	65656	36398	89251	36784
abcf2a	23263	29970	28834	14144	31725	11749
ABCF3	3878	4430	3473	2129	3973	1675
abcg1	1	1	3	1	5	6
abcg2a	53	64	48	19	34	51
abcg2b	3	3	0	8	6	2
abcg2c	679	945	709	701	1213	458
abcg2d	13	17	20	13	12	8
abcg4a	2	5	1	3	4	3
abcg4b	2	2	2	0	3	6
abcg5	6	6	2	4	3	3
abcg8	1	4	3	1	3	3
abch1	19	12	22	16	33	41
abhd10a	243	339	374	325	604	176
abhd10b	3669	3393	3215	4652	6748	3026
abhd11	1741	2332	1982	1253	2217	784
abhd12	809	927	1108	1013	1419	669
abhd13	327	704	522	295	675	286
abhd14a	1273	1543	1199	1511	2502	675
abhd14b	998	520	973	1185	1306	630
ABHD15	33	54	46	44	69	21
abhd16a	2973	3774	2869	2771	4775	2108
abhd17aa	1346	1684	1762	825	1621	631
abhd17ab	1656	2197	2206	1758	3106	1362
abhd17b	1231	1311	2421	1344	1756	1161
abhd17c	512	680	539	494	925	397
abhd2a	48	109	76	70	136	78
abhd2b	6	6	8	15	16	4
abhd3	593	1019	905	254	510	316
abhd4	1222	1084	1117	1442	1741	1097
abhd5a	97	82	102	162	204	102
abhd5b	4	6	3	2	4	1
abhd6a	41	93	108	107	194	70
abhd6b	65	86	45	26	35	6
abhd8a	11	11	13	7	13	5
abi1a	4230	5635	4276	3513	6172	3078
abi1b	655	1323	1010	736	1499	545
abi2a	654	957	614	1075	1788	725
abi2b	2486	3208	2688	2647	4209	1781
abi3bp	78	96	29	270	509	12
abl1	1494	3238	3127	2527	5023	2345
abl2	1087	1876	1605	1394	2451	1179
ablim1a	2	5	6	2	9	3
ablim1b	871	1324	1059	651	1230	430
ablim2	157	379	173	181	464	73
ablim3	224	327	245	282	480	94
abo	1	5	4	14	7	12
abraa	84	108	53	71	141	12
abrab	0	0	0	2	1	0
abracl	12570	7426	16254	5909	5650	4076
abt1	3077	3035	3681	2075	2935	1581
ABTB1	170	263	381	400	542	282
abtb2b	35	31	46	24	35	31
AC024175.1	7	4	6	8	1	5
AC024175.10	0	4	2	8	5	1
AC024175.11	485	409	490	803	897	197
AC024175.12	17	19	10	24	19	7
AC024175.13	17	7	20	38	26	9
AC024175.14	3	9	7	7	13	6
AC024175.15	6	0	0	2	3	0
AC024175.16	3	3	3	5	4	0
AC024175.17	2565	2875	2735	3455	5455	3021
AC024175.18	13	11	18	39	29	9
AC024175.19	72	76	86	114	157	31
AC024175.2	17	10	3	9	18	2
AC024175.20	3	2	4	1	4	2
AC024175.21	7	7	7	14	7	5
AC024175.22	148	65	100	189	202	23
AC024175.23	7	3	9	9	7	7
AC024175.24	4	9	4	6	14	2
AC024175.3	20	40	29	42	48	12
AC024175.4	23869	33621	32871	44970	68529	14526
AC024175.5	5	2	7	13	10	1
AC024175.6	2	5	3	5	2	1
AC024175.7	0	0	1	3	2	1
AC024175.8	8	12	10	13	16	4
AC024175.9	138	138	100	160	176	84
ACA64	7	3	18	11	14	5
acaa1	224	164	297	253	292	117
acaa2	1452	1923	1541	1644	3165	959
acaca	28745	47113	45113	26662	44815	17175
acacb	451	647	1053	1399	1764	1368
acad11	679	711	788	674	861	397
acad8	1437	1779	1409	1054	1950	626
acad9	721	1109	682	663	1401	341
acadl	3056	2783	3070	3690	4890	1594
acadm	3930	3426	4317	4224	5056	1623
acads	845	1039	651	999	1605	448
acadsb	1188	1538	929	720	1465	240
acadvl	4752	5947	4979	4933	8070	3419
acana	5	7	7	25	30	29
acanb	1	1	0	0	2	1
acap1	93	126	249	147	234	161
acap2	328	560	517	444	834	417
acap3a	5012	6826	6289	4417	8718	4633
acap3b	252	548	708	389	848	688
acat1	6428	6402	5746	5577	7798	2233
acat2	12959	11567	15363	13803	15379	8607
acbd3	3359	4426	4572	3732	6855	2899
ACBD3	165	220	234	113	245	93
acbd4	146	164	98	135	239	23
acbd5a	821	703	850	1022	1298	757
acbd5b	64	46	133	76	139	42
acbd6	2881	3012	3461	2891	4410	1549
acbd7	0	0	0	0	0	0
accs	1212	1463	1264	1011	1742	868
acd	380	508	368	264	513	105
ace	10	13	15	53	55	19
ace2	0	1	1	0	1	1
acer1	3	6	2	5	9	4
ACER2	32	107	149	89	168	144
acer3	72	253	195	118	220	103
ache	252	446	386	333	641	110
acin1a	22872	32406	25706	22870	38917	17106
acin1b	4945	6746	5769	4921	8314	4049
ackr3b	3821	3999	2779	5411	7440	2228
ackr4a	133	172	82	195	173	146
ackr4b	6420	5363	5985	14527	17435	5789
aclya	46455	57759	41734	30974	41381	31898
aclyb	105	105	125	119	221	107
acmsd	2	2	3	4	4	1
acn9	1595	953	1365	1562	1310	492
aco1	976	2333	1979	1982	4495	1464
aco2	17398	26742	17345	11358	23362	8188
acot11a	124	113	161	176	195	89
acot11b	3	4	12	13	14	10
ACOT12	2	3	5	0	2	2
acot13	1796	1199	1092	1150	1221	134
acot7	3563	4124	4004	1199	2108	911
acot8	832	710	682	802	951	266
acot9.1	3539	2916	4279	4454	4578	2036
acot9.2	29	30	79	63	74	84
acox1	2196	2264	2362	3048	3988	1577
acox3	727	928	1020	833	1447	553
acoxl	142	627	655	516	1223	603
acp1	10046	11393	8458	5313	10125	3023
ACP2	1330	1023	1628	1485	1611	1512
acp5a	50	48	27	30	38	4
acp5b	21	22	30	8	11	10
acp6	2148	2187	2787	916	1851	752
acpl2	122	157	131	63	112	49
acrc	311	417	363	141	252	58
acsbg1	1	0	0	0	0	3
acsbg2	42178	35129	43309	31589	30055	23946
acsf2	28	22	46	16	17	16
acsl1a	3346	4939	3461	3211	5230	1531
acsl1b	462	862	1102	560	997	664
acsl3a	412	485	390	81	90	63
acsl3b	35939	47709	42860	39380	58400	27793
acsl4a	72183	77760	84211	50987	59249	35776
acsl4l	321	326	269	571	666	327
acsl5	9	19	5	9	16	7
acsl6	116	205	138	75	107	90
ACSL6	46	68	86	37	47	59
acsm3	73	74	25	52	89	10
acss1	411	368	766	840	1310	590
acss2	8263	9245	10329	6875	10464	3841
acss3	870	986	656	545	826	300
acta1a	2	6	2	3	3	3
acta1b	8	6	3	10	5	5
acta2	12	27	6	8	11	4
actb1	158362	217205	126763	100480	196459	39178
actb2	290852	378549	254154	239647	385865	154345
actc1a	0	0	0	0	2	0
actc1b	25	38	42	20	40	21
actl6a	6687	7145	7922	5888	8831	3218
actl6b	2	14	3	7	10	6
actn1	4350	6134	3654	7994	11856	3032
actn2	37	30	152	87	92	109
actn3a	24	19	17	21	39	13
actn3b	10	26	10	34	40	38
actr1	9858	11090	13092	11214	18035	10762
actr10	6305	6824	8231	7035	10442	5033
actr2a	6021	7753	6406	4764	8165	3448
actr2b	1798	3707	3429	2167	4644	2137
actr3b	36	53	30	66	96	56
actr5	1147	1180	1652	1168	1531	732
actr6	4589	3506	5341	3217	3284	1324
actr8	1808	1596	2363	1125	1518	821
acvr1b	1077	1700	1450	933	1635	450
acvr1l	5591	6274	5792	5860	9280	3667
acvr2aa	1073	1411	1394	1594	2391	992
acvr2ab	180	377	367	330	586	216
acvr2b	98	279	200	115	297	144
acvrl1	4	2	9	3	1	2
acy1	1096	1263	1214	1077	1535	802
acy3.1	182	172	208	142	162	45
acy3.2	486	510	500	395	464	233
acyp1	599	420	422	631	689	341
ada	2095	1553	5237	1754	1931	1655
ADAD1	4	2	6	4	1	1
ADAD2	1	3	5	0	4	1
adal	209	201	290	180	251	133
adam10a	5519	6388	8545	6550	9556	5523
adam10b	1038	1568	1025	1091	1831	805
adam11	59	121	38	51	155	1
adam12	59	172	144	86	145	85
adam15	215	525	782	541	980	1255
adam17a	6253	8073	8148	6479	10985	4607
adam17b	289	679	829	389	810	591
adam19a	1367	2117	737	1524	2629	403
adam19b	3	12	5	10	10	8
adam22	74	167	28	147	285	44
adam23a	73	99	63	78	153	15
adam28	2	2	2	0	2	0
adam8a	13563	15701	16952	9123	13836	10548
adam8b	735	963	827	614	1030	393
adam9	2723	4576	4151	1513	3010	1357
adamts1	279	213	249	325	406	249
adamts10	314	887	881	70	191	21
ADAMTS12	9	31	23	8	16	5
adamts13	3	6	3	0	0	0
ADAMTS14	2	4	1	0	1	0
adamts15a	2	4	5	3	6	24
adamts15b	3	0	0	0	1	1
ADAMTS16	1	1	0	1	1	1
ADAMTS17	1	2	3	1	3	0
adamts18	2	5	2	7	10	4
ADAMTS20	0	4	5	2	5	1
adamts22	796	1056	1211	535	635	378
adamts3	939	1760	1472	1761	2726	988
adamts6	3	7	10	6	11	6
adamts8a	4	8	12	2	11	3
adamts9	44	59	42	6	16	5
adamtsl2	3	0	4	2	2	1
ADAMTSL3	7	16	5	42	37	23
ADAMTSL4	8527	15070	6079	14532	26293	2957
adamtsl7	65	89	78	67	89	93
ADAP2	43	32	18	19	6	9
adar	5158	8229	13211	6654	10854	8265
adarb1a	391	593	579	349	838	233
adarb1b	241	868	663	404	947	245
adarb2	85	249	187	78	208	64
adat1	546	592	616	567	775	503
adat2	1391	1492	1560	1168	1956	641
adat3	541	425	592	509	638	337
adck1	804	1080	725	632	1236	404
ADCK2	486	559	536	429	740	290
adck3	1281	1672	1732	1660	2620	1561
adck4	389	437	531	444	718	322
adck5	11297	12852	14032	7821	9440	5294
adcy1a	0	3	1	0	3	1
adcy1b	4	5	9	10	15	4
adcy2a	13	20	31	32	59	54
adcy2b	128	173	135	2949	4942	2118
ADCY3	476	815	519	634	1080	494
adcy3b	2	5	3	1	5	3
adcy5	619	706	1560	2105	3759	2702
adcy6a	1827	3309	1931	1800	3456	948
adcy6b	920	1496	1306	1012	1750	322
adcy7	55	49	166	92	136	215
adcy8	275	296	327	412	555	343
adcy9	293	648	501	596	1019	548
adcyap1a	0	0	2	2	0	1
adcyap1b	6206	5498	6916	6371	6745	2580
adcyap1r1a	20	37	12	20	20	15
add1	1877	3650	2425	2878	5569	1254
add2	24	14	11	13	29	30
add3a	2972	3387	4109	8124	10847	7381
add3b	62	106	72	71	138	21
adgb	17	26	28	33	49	21
adh5	12686	12989	8594	9443	13243	2757
adh8a	17	16	18	26	32	10
adh8b	2401	1484	2355	5990	5542	1976
adhfe1	1093	848	905	1103	1428	333
adi1	5998	4740	6039	4550	5092	2747
adipoqa	8	18	24	79	123	44
adipoqb	3	2	0	2	5	3
adipor1a	1813	2099	2147	2338	3682	1559
adipor1b	2024	2072	2494	1671	2710	1200
adipor2	6172	6538	7716	4993	6433	5099
adka	4699	6458	3703	3667	7499	1384
adkb	3166	3757	2595	2098	3470	1054
adm2a	421	774	551	32	100	88
adm2b	5	2	4	1	5	6
adma	7	13	14	11	17	13
admp	1	0	1	1	4	1
adnp2a	812	1097	825	1069	1763	561
adnp2b	11961	16456	15132	11189	19406	7009
adnpa	4040	5665	4750	3621	6508	2548
adnpb	690	812	946	1296	1987	704
adoa	1387	1530	1161	909	1371	854
adob	2298	1984	2635	2172	2651	1755
adora1	0	0	1	0	0	2
adora2aa	2	11	4	2	2	3
adora2ab	7	13	22	9	13	27
adora2b	3	8	10	3	8	20
adpgk	1523	2408	2000	1606	2917	1069
adpgk2	78	184	153	100	207	84
adprh	1796	1431	1490	1539	1828	642
adprhl1	20	44	71	38	63	81
adprhl2	1796	2064	2205	1033	1829	562
adprm	181	233	492	121	197	230
adra1ab	1	0	0	2	1	2
adra1bb	6	5	13	1	0	0
adra1d	1	0	2	0	2	0
adra2a	0	5	2	2	0	0
adra2b	4252	5325	5671	2756	4669	1970
adra2c	1	1	0	0	1	0
adra2da	17	7	5	92	69	31
adra2db	3	10	3	44	64	0
adrb1	25	15	70	79	105	66
adrb2a	150	267	222	173	349	23
adrb2b	2	0	8	1	0	5
adrb3a	30	57	56	5	4	2
adrb3b	9	11	11	8	19	26
adrbk2	2547	3707	3081	2614	4851	2193
adrm1	9518	11781	9177	7259	12330	4854
adsl	2126	2808	2222	1568	2935	958
adss	398	867	592	404	1037	306
adssl	9726	14544	9621	4645	10709	2450
adssl1	8	13	7	24	18	21
ADTRP	7	10	13	1685	1327	979
aebp1	51	68	77	11	20	7
aebp2	1528	1492	1589	1178	1940	1185
aes	429	935	913	981	1898	862
afap1	693	1439	1168	594	1376	203
afap1l1a	11	13	11	9	10	0
afap1l1b	366	528	361	304	675	489
afap1l2	1300	2288	651	1796	3342	60
aff2	114	220	119	43	112	35
aff3	3	4	9	16	19	47
aff4	1012	2346	2430	1674	3448	2216
afg3l2	15655	20306	17639	17283	29547	10495
afmid	67	65	48	30	44	34
aftpha	884	1089	1078	1188	1822	985
aftphb	889	1266	1267	1063	1706	972
aga	791	812	796	600	897	476
agap1	746	1485	1217	1097	2277	1124
agap2	87	114	100	102	151	25
agbl2	113	148	107	82	111	63
agbl4	115	140	120	146	206	50
agbl5	302	328	377	491	600	328
agfg1a	1853	2266	2165	1845	2711	1332
agfg1b	1000	1197	1064	697	1189	409
AGFG2	37	43	35	143	237	50
aggf1	1296	1602	1667	1125	1856	924
agk	3216	3363	3258	2191	3396	1423
agla	1705	2307	2002	2262	4071	1183
aglb	103	138	74	24	37	14
agmat	61	69	46	70	75	18
agmo	485	322	462	621	476	144
AGO1	99	368	347	175	410	217
ago3b	854	2079	2384	1026	2861	1203
ago4	1378	2709	2944	2583	4358	3195
agpat2	1875	2489	1976	2235	3925	1352
agpat3	2219	2746	3358	2160	3260	1530
agpat4	2545	3160	2439	2428	3942	1710
agpat5	11338	12469	12059	10819	17184	5742
agpat6	3347	4206	2775	2766	4594	1450
agpat9	313	306	662	577	757	532
agpat9l	4	2	6	1	4	0
agps	3096	4819	2810	1953	3561	1266
agr2	35	31	21	35	37	17
agrn	2104	4534	5674	1383	2650	725
agrp	1	0	1	0	0	0
agt	26	41	42	42	52	25
agtpbp1	1005	2095	2338	1222	2606	1180
agtr1a	1	2	3	0	0	2
agtr1b	1	0	2	1	4	1
agtr2	6	4	5	4	2	2
agtrap	236	86	604	544	466	416
agxt2	0	1	2	1	0	1
agxta	4	1	1	1	5	1
agxtb	0	0	0	1	2	0
ahctf1	8604	16009	11360	9041	19662	7510
ahcy	39192	40016	34595	22420	36013	12024
ahcyl1	128	173	126	36	100	18
ahcyl2	2663	3311	3174	2344	4008	2273
ahdc1	39	66	65	72	141	26
ahi1	724	894	812	1181	1914	966
ahnak	52384	94398	68652	124233	206544	52637
ahr1a	1	1	1	2	0	2
ahr1b	14	33	42	56	66	80
ahr2	5612	8866	8490	10092	16854	9914
ahrrb	284	861	194	1398	3409	675
ahsa1	209	203	452	284	512	500
ahsa1l	6811	8185	9948	4950	8647	6012
ahsg	0	1	2	0	2	1
AHSG	0	1	3	0	1	1
aicda	1	0	0	1	0	0
aida	3918	4464	2579	3347	5373	1518
aif1l	7625	7548	8072	5700	8617	3902
aifm1	6571	10058	6962	4429	9380	2615
AIFM2	13116	12814	9687	13866	18708	6799
AIFM3	19	26	37	62	140	53
aig1	16	15	6	21	41	10
aim1a	11861	17972	16226	17136	28028	17682
aim1b	2	2	5	12	8	9
AIM1L	8	9	10	11	24	4
aimp1	5428	6081	4621	3505	5963	2625
aimp2	12301	14861	12261	6869	11794	5366
aip	3004	2426	3427	3178	3411	1457
AIPL1	3	3	2	1	6	2
aire	8	2	7	12	11	3
ajap1	32	105	45	62	159	4
ajuba	900	1165	968	1101	1418	710
ak1	151	89	116	675	444	116
ak2	18123	18977	16856	13965	20484	10056
ak3	1114	1127	672	1188	1414	473
ak4	8229	7393	7924	17054	20471	4912
ak5	505	415	1252	23	17	8
ak5l	14	22	22	6	8	17
ak7a	23	21	33	95	120	26
ak7b	2	3	4	7	4	5
ak8	119	105	68	200	331	58
ak9	148	301	130	74	98	93
akap10	1101	1894	1651	1365	2752	1065
akap11	1252	1713	2093	2553	3833	3115
akap12a	8	43	138	4	26	3
akap12b	603	1540	794	796	1471	564
akap17a	1091	1330	1344	1214	1779	1107
akap1a	3	4	10	7	18	9
akap1b	5077	8137	6833	4366	8842	4578
akap6	140	166	172	25	25	33
akap7	1085	1753	749	426	737	308
akap8l	5784	7560	6617	5582	9883	3813
akap9	4077	5970	5433	6698	10848	5601
AKIP1	601	460	614	614	692	288
akirin1	2807	3110	2820	2818	4558	1679
akirin2	4033	3889	4023	3151	4261	2142
AKNA	63	132	133	81	160	54
AKNAD1	7	19	21	10	21	9
akr1a1a	0	3	0	4	0	1
akr1a1b	6080	3723	6408	5802	5567	2961
akr1b1	1232	880	1284	2363	2805	354
akr7a3	2557	2780	2561	1341	2302	1007
akt1s1	5878	4806	6577	6956	8450	6278
akt2	32222	49099	24067	13226	24973	12838
akt2l	362	362	224	380	526	168
AKT3	385	646	518	453	903	404
akt3a	286	551	462	321	703	235
aktip	1298	1389	1530	1729	2468	1236
AL627261.1	0	0	0	0	0	0
AL627305.1	26	36	51	67	77	28
AL645691.1	0	0	0	0	0	0
AL645691.2	0	0	0	0	0	0
AL645691.3	0	0	0	0	0	0
AL645691.4	3	2	9	7	0	0
AL645743.1	0	0	0	0	0	0
AL645743.2	0	0	0	0	0	0
AL772250.1	0	0	0	0	0	0
AL772263.1	3	4	3	2	6	7
AL773593.1	0	0	0	0	0	0
AL807792.1	0	0	0	0	0	0
AL807829.1	3	5	0	1	0	0
AL831768.1	0	1	0	0	0	0
AL845295.1	0	0	0	0	1	1
AL845295.2	10	7	9	11	11	3
AL845301.1	0	0	0	0	0	0
AL845428.1	0	0	0	0	0	0
AL845437.1	0	1	0	0	0	0
AL845481.1	0	0	0	0	0	0
AL928685.1	7	6	6	9	12	6
AL928685.2	422	423	432	305	416	118
AL928685.3	66	46	40	28	41	3
AL928817.1	0	0	0	0	0	0
AL928837.1	0	0	0	0	0	0
AL928875.1	56	65	75	124	150	143
AL928881.1	0	0	0	0	0	0
AL928887.2	0	0	0	0	0	0
AL929007.1	651	1109	1248	489	935	494
AL929007.2	16	17	23	28	26	20
AL929022.1	1	5	1	7	14	1
AL929022.2	11	27	15	11	13	4
AL929029.1	8	7	9	17	25	4
AL929092.1	2	1	2	4	4	4
AL929105.1	0	0	0	0	0	0
AL929105.3	0	0	0	0	0	0
AL929108.1	0	2	2	1	5	2
AL929115.2	814	1117	867	1210	2237	467
AL929134.1	117	150	188	212	249	124
AL929185.1	1	1	0	0	0	0
AL929192.1	0	0	0	0	0	0
AL929192.2	0	0	0	0	0	0
AL929192.3	0	1	0	0	0	0
AL929193.1	0	4	3	3	2	0
AL929204.1	256	147	384	1147	1343	1370
AL929210.1	0	0	0	0	0	0
AL929217.1	18	59	17	13	42	2
AL929220.1	0	0	0	0	0	0
AL929239.1	0	0	0	0	0	0
AL929252.1	12	28	7	18	46	4
AL929252.2	0	0	0	1	2	3
AL929276.1	1	7	3	2	7	1
AL929276.2	556	354	591	731	671	434
AL929281.1	1	0	0	0	0	0
AL929286.1	888	1179	729	1924	3228	1233
AL929291.1	0	0	0	0	0	0
AL929322.1	169	205	134	148	223	114
AL929327.1	0	0	0	0	0	0
AL929378.1	0	0	0	0	0	0
AL929392.1	570	1269	1495	1002	2095	1269
AL929434.1	1077	1358	1714	840	1300	569
AL929457.1	0	0	0	0	0	0
AL929464.1	0	0	0	0	0	0
AL929507.1	0	0	0	0	0	0
AL929507.2	0	0	0	0	0	0
AL929507.3	0	0	0	0	0	0
AL929520.1	0	0	0	0	0	0
AL929558.1	0	0	0	0	0	0
AL929558.2	2	7	5	2	10	2
AL929558.3	0	0	0	0	0	0
AL929558.4	0	0	0	0	0	0
AL929580.1	2	4	1	0	1	1
AL935029.1	142	335	269	48	108	10
AL935044.1	3	4	10	0	2	4
AL935044.2	427	1259	1228	352	899	105
AL935046.1	12	8	9	3	8	8
AL935114.1	0	0	0	0	0	0
AL935128.1	60	60	44	29	43	12
AL935174.1	0	2	2	2	8	3
AL935174.2	0	0	0	0	0	0
AL935184.1	0	1	0	0	0	0
AL935184.2	11	10	9	8	17	4
AL935186.1	2	1	7	4	2	4
AL935186.2	2	3	7	3	6	10
AL935186.3	2	0	4	3	1	2
AL935186.4	0	0	0	0	0	0
AL935186.6	5	9	22	8	11	28
AL935187.1	0	1	0	0	0	0
AL935268.1	0	1	2	0	1	3
AL935274.1	0	0	0	0	0	0
AL935293.1	225	274	342	241	359	161
AL935296.1	9	14	17	9	14	7
AL953847.1	0	0	0	0	0	0
AL953879.1	342	1445	5542	999	1782	2514
AL953903.1	0	0	0	0	0	0
AL953903.2	0	0	0	0	0	0
AL953903.3	0	0	0	0	0	0
AL953903.4	0	0	0	0	0	0
AL953903.5	0	0	0	0	0	0
AL953907.1	0	0	0	1	1	1
AL953907.2	4	6	12	8	4	4
AL953907.3	0	4	3	7	6	5
AL954132.1	0	0	0	0	0	0
AL954146.1	0	0	0	0	0	0
AL954146.2	10	7	29	3	8	3
AL954146.4	10	4	14	3	2	6
AL954173.1	3	4	1	3	2	0
AL954361.1	1	2	4	5	3	6
AL954676.2	0	0	0	0	0	0
AL954696.1	3941	4256	4268	2805	4358	1857
AL954715.2	0	0	0	0	0	0
AL954741.1	1136	1190	1345	1594	2166	1142
AL954746.1	135	153	292	208	259	160
AL954846.1	0	0	0	0	0	0
alad	2327	2106	2748	2474	3195	1013
alas1	8805	10926	11170	4423	6764	8575
alas2	2	7	3	2	4	5
alcama	3137	5750	1782	3755	7860	505
alcamb	393	755	270	1248	2389	106
aldh16a1	3305	3796	4194	2632	4452	3373
aldh18a1	897	1760	1089	695	1599	399
aldh1a2	2	7	4	25	51	5
aldh1a3	14	9	11	4	15	5
aldh1l1	65	95	73	113	134	49
aldh1l2	4214	7670	4528	3190	7728	1443
aldh2.1	373	280	335	631	683	295
aldh2.2	136	188	241	175	248	121
aldh3a1	493	599	589	537	1059	239
aldh3a2a	1214	872	1610	1442	1478	839
aldh3a2b	680	1101	990	1353	2507	874
aldh3b1	543	471	677	480	664	273
aldh3b2	15	17	19	25	26	38
aldh4a1	993	1852	1009	895	1970	478
aldh5a1	627	655	840	823	1184	406
aldh6a1	5065	5796	5530	5476	7808	3238
aldh7a1	9135	12813	7232	6680	12591	2971
aldh8a1	23	32	36	24	25	20
aldh9a1a.1	2072	1384	1577	3664	3821	703
aldh9a1a.2	13	5	14	18	11	15
aldh9a1b	1269	1354	1084	1334	1968	539
aldoaa	27154	29929	30758	19877	31037	22654
aldoab	0	0	1	0	0	0
aldob	114	102	80	95	100	4
aldoca	0	1	1	3	2	4
aldocb	32585	37832	44179	21753	33626	53716
alg1	803	540	823	725	797	396
alg10	388	429	583	367	544	175
alg11	891	1009	1213	1114	1661	1140
alg12	1168	1038	1333	1099	1365	374
alg13	3	6	3	0	0	0
alg14	677	655	769	591	792	419
alg2	1072	1036	1317	1184	1408	1409
alg3	2472	3584	3614	1873	3741	2130
alg5	2472	2809	2661	2294	3698	1972
alg6	747	863	651	838	1364	494
alg8	1256	1161	1845	1390	1790	826
alg9	1561	1722	1776	1963	3141	1019
alk	14	18	21	7	17	12
alkbh1	1091	879	1014	912	1213	620
alkbh2	1152	1193	1202	1141	1441	517
alkbh3	857	703	1011	948	926	586
alkbh4	916	884	914	706	1083	439
alkbh5	400	439	400	297	501	313
alkbh6	1458	1078	1932	1333	1370	620
alkbh7	382	402	361	347	502	128
alkbh8	1361	1481	1581	1082	1659	718
allc	6	13	6	17	22	12
ALMS1	1926	3141	2936	2885	5190	1744
alox12	91	77	80	94	94	65
alox5a	15	19	59	20	47	41
alox5ap	23	22	16	38	48	36
alox5b.2	11	11	8	9	9	10
alox5b.3	14	13	21	11	24	26
ALOXE3	15	19	31	4	4	5
alp3	10	24	19	8	21	9
alpi.1	3	2	0	0	0	1
alpi.2	1	1	1	1	1	0
ALPK1	570	513	939	1270	1365	1047
alpk2	2	1	2	3	1	2
alpk3a	50	107	77	38	78	48
alpl	773	1577	969	460	1364	252
als2a	174	228	211	228	397	219
als2b	1572	2236	2256	2387	3571	2465
alx1	3	3	8	6	4	5
alx4a	1005	2518	3424	131	169	47
alx4b	1	0	6	0	0	1
alyref	22087	28654	20910	10758	19487	7734
ambp	1	0	0	1	1	3
ambra1b	1211	1813	1571	1902	2936	1832
amd1	9374	12872	12055	6823	13577	5879
AMDHD1	54	99	84	66	110	55
amdhd2	1086	1181	1471	1112	1454	1463
amer1	624	1094	1064	1191	2279	1174
amer2	32	56	43	37	63	8
AMER3	72	201	125	13	46	6
amfr	2192	2471	2805	2796	3972	2659
AMFR	1	0	0	1	2	0
amh	20	24	33	33	59	34
amigo1	0	1	2	0	0	1
amigo3	0	0	0	0	0	0
ammecr1	2528	3769	4692	2995	5775	3541
amn	0	1	1	1	4	3
amn1	194	130	229	286	256	128
amot	8111	13090	11071	19894	30242	7773
amotl2a	3233	5620	1602	6875	13059	1445
amotl2b	764	1273	439	2123	4107	350
ampd1	49	47	39	49	52	68
ampd2	191	264	307	376	723	328
ampd3a	5	8	14	68	133	70
ampd3b	48	47	41	117	176	73
amph	6	11	14	14	22	9
amt	2574	2214	2737	1903	2375	527
amy2a	0	0	0	1	0	0
anapc1	3301	6115	3913	2947	6692	1694
anapc10	1399	1593	1009	739	1137	335
anapc11	1910	1051	1454	2075	1579	572
anapc13	1681	873	1812	1786	1288	790
anapc15	1146	1112	1057	841	1363	476
anapc16	1928	1087	1448	1544	1273	608
anapc2	2069	2612	2235	1594	2703	765
