Zebrafish gene name	ZMEL1 - rep1	ZMEL1 - rep2	ZMEL1 - rep3	ZMELR1 - rep1	ZMELR1 - rep2	ZMELR1 - rep3
prdx2	32116	24726	33766	23676	27989	11242
prdx3	12533	13180	10014	10266	16855	5525
prdx4	5930	6874	4524	4630	7271	1809
prdx5	21869	14211	17773	16459	16378	5854
prdx6	38016	39660	25209	37049	53335	13028
preb	2662	2740	2298	2618	4009	2147
prelid1a	10140	8025	12583	4750	5294	3975
prelid1b	1011	1367	1117	526	916	392
prelp	32	83	127	2	3	4
prep	1535	2657	2179	1043	2469	1204
prepl	803	1131	930	1006	1715	775
prex1	1492	2976	2283	2220	4327	1819
PREX2	43	110	67	74	118	80
prf1.1	0	0	0	0	2	0
prf1.2	0	0	0	3	0	1
prf1.3	1	1	2	1	7	2
prf1.5	1	5	0	0	1	0
prf1.6	0	0	1	0	2	0
prf1.7	1	1	1	0	1	0
prf1.8	0	1	0	2	2	0
prf1.9p	0	0	0	0	0	0
prg4a	24	14	22	9	9	8
prg4b	45	43	59	49	64	48
prickle1a	2778	4535	1256	2763	5388	682
prickle1b	1750	2967	2678	1231	2802	705
prickle2	244	441	180	471	776	280
prickle3	138	137	122	51	73	55
prim1	6451	5841	4881	3042	4421	559
PRIM2	4092	4277	3206	2587	4631	624
PRIMA1	585	650	1241	590	986	299
primpol	2393	2353	1972	1350	2339	273
prkaa1	1594	2109	1850	1819	3015	1320
prkaa2	33	180	94	45	148	25
prkab1a	2630	2320	2129	3064	4048	1512
prkab1b	4185	3750	4044	3702	4915	2313
PRKAB2	1031	1135	998	989	1675	679
prkacaa	7992	12749	14350	12676	22151	13610
prkacab	1464	1690	1470	1335	2236	864
prkacba	1	1	11	0	2	2
prkacbb	2649	3302	3085	2386	3887	1860
prkag1	3811	4249	4317	4026	5990	2079
prkag2a	618	815	492	745	1088	303
prkag2b	61	78	115	64	81	68
prkag3a	90	92	86	119	200	106
prkag3b	10	4	5	6	1	2
prkar1aa	9693	10659	11114	15534	19357	14724
prkar1ab	434	817	969	988	2103	815
prkar1b	302	300	225	1035	1535	667
prkar2aa	14669	17598	18353	11063	17961	7380
prkar2ab	3	4	6	4	7	3
PRKAR2B	5	16	16	2	10	2
prkca	1660	3022	1716	2600	4949	973
prkcba	70	58	60	426	833	122
prkcbb	33	36	26	59	83	17
prkcbp1l	4804	6172	5116	5264	7970	3944
prkcda	14	16	21	0	6	7
prkcdb	1085	1437	2045	1440	2316	1500
prkcea	694	881	783	853	1485	455
prkceb	101	167	147	127	258	201
prkcg	0	0	0	0	1	0
